Month,Year,Team A,Team B,Ground,Won,Team A Won,Trim Team A,Trim Team B
January,1987,England ,West Indies,Adelaide Oval,England ,1,England,West Indies
January,1987,Australia ,West Indies,Adelaide Oval,West Indies ,0,Australia,West Indies
January,1987,Australia ,England,Adelaide Oval,Australia ,1,Australia,England
March,1987,New Zealand ,West Indies,AMI Stadium,West Indies ,0,New Zealand,West Indies
October,1987,England ,Sri Lanka,Arbab Niaz Stadium,England ,1,England,Sri Lanka
November,1987,Pakistan ,England,Arbab Niaz Stadium,England ,0,Pakistan,England
January,1987,England ,West Indies,Brisbane Cricket Ground,England ,1,England,West Indies
January,1987,Australia ,England,Brisbane Cricket Ground,Australia ,1,Australia,England
March,1987,New Zealand ,West Indies,Carisbrook,West Indies ,0,New Zealand,West Indies
February,1987,England ,West Indies,Devonport Oval,England ,1,England,West Indies
February,1987,India ,Pakistan,Eden Gardens,Pakistan ,0,India,Pakistan
November,1987,Australia ,England,Eden Gardens,Australia ,1,Australia,England
March,1987,New Zealand ,West Indies,Eden Park,West Indies ,0,New Zealand,West Indies
May,1987,England ,Pakistan,Edgbaston,England ,1,England,Pakistan
January,1987,India ,Sri Lanka,Feroz Shah Kotla,India ,1,India,Sri Lanka
October,1987,India ,Australia,Feroz Shah Kotla,India ,1,India,Australia
November,1987,Pakistan ,England,Gaddafi Stadium,England ,0,Pakistan,England
October,1987,Pakistan ,West Indies,Gaddafi Stadium,Pakistan ,1,Pakistan,West Indies
November,1987,Pakistan ,Australia,Gaddafi Stadium,Australia ,0,Pakistan,Australia
October,1987,Sri Lanka ,West Indies,Green Park,West Indies ,0,Sri Lanka,West Indies
October,1987,Pakistan ,Sri Lanka,Iqbal Stadium,Pakistan ,1,Pakistan,Sri Lanka
October,1987,England ,West Indies,Jinnah Stadium ,England ,1,England,West Indies
March,1987,India ,Pakistan,Keenan Stadium,Pakistan ,0,India,Pakistan
May,1987,England ,Pakistan,Kennington Oval,England ,1,England,Pakistan
March,1987,India ,Pakistan,Lal Bahadur Shastri Stadium,India ,1,India,Pakistan
October,1987,India ,New Zealand,M Chinnaswamy Stadium,India ,1,India,New Zealand
October,1987,India ,Australia,MA Chidambaram Stadium,Australia ,0,India,Australia
February,1987,Australia ,England,Melbourne Cricket Ground,England ,0,Australia,England
January,1987,Australia ,West Indies,Melbourne Cricket Ground,West Indies ,0,Australia,West Indies
January,1987,England ,West Indies,Melbourne Cricket Ground,West Indies ,0,England,West Indies
February,1987,Australia ,England,Melbourne Cricket Ground,Australia ,1,Australia,England
January,1987,India ,Sri Lanka,Moti Bagh Stadium,India ,1,India,Sri Lanka
November,1987,Pakistan ,England,National Stadium,England ,0,Pakistan,England
October,1987,Sri Lanka ,West Indies,National Stadium,West Indies ,0,Sri Lanka,West Indies
October,1987,Pakistan ,England,National Stadium,Pakistan ,1,Pakistan,England
October,1987,Pakistan ,West Indies,National Stadium,West Indies ,0,Pakistan,West Indies
January,1987,India ,Sri Lanka,Nehru Stadium ,India ,1,India,Sri Lanka
December,1987,India ,West Indies,Nehru Stadium ,West Indies ,0,India,West Indies
January,1987,India ,Pakistan,Nehru Stadium ,Pakistan ,0,India,Pakistan
October,1987,Australia ,New Zealand,Nehru Stadium ,Australia ,1,Australia,New Zealand
October,1987,England ,Sri Lanka,Nehru Stadium ,England ,1,England,Sri Lanka
March,1987,India ,Pakistan,Nehru Stadium ,Pakistan ,0,India,Pakistan
October,1987,Pakistan ,Sri Lanka,Niaz Stadium,Pakistan ,1,Pakistan,Sri Lanka
October,1987,Pakistan ,England,Pindi Club Ground,Pakistan ,1,Pakistan,England
October,1987,England ,West Indies,Sawai Mansingh Stadium,England ,1,England,West Indies
October,1987,Australia ,New Zealand,Sector 16 Stadium,Australia ,1,Australia,New Zealand
April,1987,England ,Pakistan,Sharjah Cricket Stadium,England ,1,England,Pakistan
April,1987,Australia ,England,Sharjah Cricket Stadium,England ,0,Australia,England
April,1987,England ,India,Sharjah Cricket Stadium,India ,0,England,India
April,1987,Australia ,Pakistan,Sharjah Cricket Stadium,Pakistan ,0,Australia,Pakistan
April,1987,Australia ,India,Sharjah Cricket Stadium,India ,0,Australia,India
April,1987,India ,Pakistan,Sharjah Cricket Stadium,Pakistan ,0,India,Pakistan
January,1987,Australia ,England,Sydney Cricket Ground,England ,0,Australia,England
February,1987,Australia ,England,Sydney Cricket Ground,England ,0,Australia,England
January,1987,Australia ,West Indies,Sydney Cricket Ground,Australia ,1,Australia,West Indies
February,1987,Australia ,West Indies,Sydney Cricket Ground,Australia ,1,Australia,West Indies
May,1987,England ,Pakistan,Trent Bridge,Pakistan ,0,England,Pakistan
March,1987,India ,Pakistan,Vidarbha Cricket Association Ground,Pakistan ,0,India,Pakistan
October,1987,India ,New Zealand,Vidarbha Cricket Association Ground,India ,1,India,New Zealand
December,1987,India ,West Indies,Vidarbha Cricket Association Ground,West Indies ,0,India,West Indies
January,1987,Australia ,England,WACA Ground,England ,0,Australia,England
January,1987,England ,West Indies,WACA Ground,England ,1,England,West Indies
January,1987,England ,Pakistan,WACA Ground,England ,1,England,Pakistan
January,1987,England ,Pakistan,WACA Ground,England ,1,England,Pakistan
January,1987,Australia ,Pakistan,WACA Ground,Pakistan ,0,Australia,Pakistan
January,1987,Australia ,West Indies,WACA Ground,West Indies ,0,Australia,West Indies
November,1987,India ,England,Wankhede Stadium,England ,0,India,England
January,1987,India ,Sri Lanka,Wankhede Stadium,India ,1,India,Sri Lanka
January,1988,New Zealand ,Sri Lanka,Adelaide Oval,New Zealand ,1,New Zealand,Sri Lanka
January,1988,Australia ,Sri Lanka,Adelaide Oval,Australia ,1,Australia,Sri Lanka
December,1988,Pakistan ,West Indies,Adelaide Oval,West Indies ,0,Pakistan,West Indies
December,1988,Australia ,Pakistan,Adelaide Oval,Australia ,1,Australia,Pakistan
March,1988,New Zealand ,England,AMI Stadium,England ,0,New Zealand,England
March,1988,West Indies ,Pakistan,Antigua Recreation Ground,West Indies ,1,West Indies,Pakistan
October,1988,Pakistan ,Sri Lanka,Bangabandhu National Stadium,Sri Lanka ,0,Pakistan,Sri Lanka
October,1988,India ,Sri Lanka,Bangabandhu National Stadium,Sri Lanka ,0,India,Sri Lanka
October,1988,India ,Pakistan,Bangabandhu National Stadium,India ,1,India,Pakistan
November,1988,Bangladesh ,Sri Lanka,Bangabandhu National Stadium,Sri Lanka ,0,Bangladesh,Sri Lanka
November,1988,India ,Sri Lanka,Bangabandhu National Stadium,India ,1,India,Sri Lanka
December,1988,India ,New Zealand,Barabati Stadium,India ,1,India,New Zealand
January,1988,New Zealand ,Sri Lanka,Bellerive Oval,Sri Lanka ,0,New Zealand,Sri Lanka
December,1988,Pakistan ,West Indies,Bellerive Oval,West Indies ,0,Pakistan,West Indies
March,1988,West Indies ,Pakistan,Bourda,West Indies ,1,West Indies,Pakistan
January,1988,New Zealand ,Sri Lanka,Brisbane Cricket Ground,New Zealand ,1,New Zealand,Sri Lanka
January,1988,Australia ,New Zealand,Brisbane Cricket Ground,Australia ,1,Australia,New Zealand
January,1988,India ,West Indies,Captain Roop Singh Stadium,West Indies ,0,India,West Indies
March,1988,New Zealand ,England,Carisbrook,England ,0,New Zealand,England
January,1988,India ,West Indies,Eden Gardens,India ,1,India,West Indies
March,1988,New Zealand ,England,Eden Park,New Zealand ,1,New Zealand,England
May,1988,England ,West Indies,Edgbaston,England ,1,England,West Indies
October,1988,Pakistan ,Australia,Gaddafi Stadium,Pakistan ,1,Pakistan,Australia
May,1988,England ,West Indies,Headingley,England ,1,England,West Indies
December,1988,India ,New Zealand,Indira Priyadarshini Stadium,India ,1,India,New Zealand
September,1988,England ,Sri Lanka,Kennington Oval,England ,1,England,Sri Lanka
May,1988,England ,West Indies,Lord's,England ,1,England,West Indies
October,1988,Bangladesh ,India,MA Aziz Stadium,India ,0,Bangladesh,India
October,1988,Bangladesh ,Pakistan,MA Aziz Stadium,Pakistan ,0,Bangladesh,Pakistan
January,1988,India ,West Indies,Madhavrao Scindia Cricket Ground,West Indies ,0,India,West Indies
March,1988,New Zealand ,England,McLean Park,New Zealand ,1,New Zealand,England
January,1988,Australia ,New Zealand,Melbourne Cricket Ground,Australia ,1,Australia,New Zealand
January,1988,Australia ,Sri Lanka,Melbourne Cricket Ground,Australia ,1,Australia,Sri Lanka
January,1988,Australia ,New Zealand,Melbourne Cricket Ground,Australia ,1,Australia,New Zealand
February,1988,Australia ,England,Melbourne Cricket Ground,Australia ,1,Australia,England
December,1988,Australia ,West Indies,Melbourne Cricket Ground,West Indies ,0,Australia,West Indies
December,1988,India ,New Zealand,Moti Bagh Stadium,India ,1,India,New Zealand
January,1988,India ,West Indies,Nahar Singh Stadium,West Indies ,0,India,West Indies
December,1988,India ,New Zealand,Nehru Stadium ,India ,1,India,New Zealand
March,1988,West Indies ,Pakistan,Queen's Park Oval,West Indies ,1,West Indies,Pakistan
March,1988,West Indies ,Pakistan,Queen's Park Oval,West Indies ,1,West Indies,Pakistan
March,1988,West Indies ,Pakistan,Sabina Park,West Indies ,1,West Indies,Pakistan
January,1988,India ,West Indies,Sardar Patel Stadium,West Indies ,0,India,West Indies
March,1988,India ,Sri Lanka,Sharjah Cricket Stadium,India ,1,India,Sri Lanka
March,1988,India ,New Zealand,Sharjah Cricket Stadium,India ,1,India,New Zealand
March,1988,New Zealand ,Sri Lanka,Sharjah Cricket Stadium,New Zealand ,1,New Zealand,Sri Lanka
March,1988,New Zealand ,Sri Lanka,Sharjah Cricket Stadium,New Zealand ,1,New Zealand,Sri Lanka
April,1988,India ,New Zealand,Sharjah Cricket Stadium,India ,1,India,New Zealand
October,1988,India ,West Indies,Sharjah Cricket Stadium,India ,1,India,West Indies
October,1988,Pakistan ,West Indies,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,West Indies
October,1988,India ,Pakistan,Sharjah Cricket Stadium,Pakistan ,0,India,Pakistan
October,1988,India ,West Indies,Sharjah Cricket Stadium,West Indies ,0,India,West Indies
October,1988,Pakistan ,West Indies,Sharjah Cricket Stadium,West Indies ,0,Pakistan,West Indies
January,1988,New Zealand ,Sri Lanka,Sydney Cricket Ground,New Zealand ,1,New Zealand,Sri Lanka
January,1988,Australia ,Sri Lanka,Sydney Cricket Ground,Australia ,1,Australia,Sri Lanka
January,1988,Australia ,New Zealand,Sydney Cricket Ground,Australia ,1,Australia,New Zealand
January,1988,Australia ,New Zealand,Sydney Cricket Ground,Australia ,1,Australia,New Zealand
December,1988,Australia ,West Indies,Sydney Cricket Ground,West Indies ,0,Australia,West Indies
January,1988,India ,West Indies,University Stadium,West Indies ,0,India,West Indies
January,1988,Australia ,Sri Lanka,WACA Ground,Australia ,1,Australia,Sri Lanka
January,1988,Australia ,New Zealand,WACA Ground,New Zealand ,0,Australia,New Zealand
March,1989,New Zealand ,Pakistan,AMI Stadium,New Zealand ,1,New Zealand,Pakistan
March,1989,West Indies ,India,Antigua Recreation Ground,West Indies ,1,West Indies,India
October,1989,England ,Pakistan,Barabati Stadium,England ,1,England,Pakistan
March,1989,New Zealand ,Pakistan,Basin Reserve,New Zealand ,1,New Zealand,Pakistan
March,1989,West Indies ,India,Bourda,West Indies ,1,West Indies,India
October,1989,Australia ,Pakistan,Brabourne Stadium,Pakistan ,0,Australia,Pakistan
January,1989,Pakistan ,West Indies,Brisbane Cricket Ground,Pakistan ,1,Pakistan,West Indies
January,1989,Australia ,Pakistan,Brisbane Cricket Ground,Australia ,1,Australia,Pakistan
October,1989,England ,West Indies,Captain Roop Singh Stadium,West Indies ,0,England,West Indies
February,1989,New Zealand ,Pakistan,Carisbrook,New Zealand ,1,New Zealand,Pakistan
October,1989,India ,Pakistan,Eden Gardens,Pakistan ,0,India,Pakistan
November,1989,Pakistan ,West Indies,Eden Gardens,Pakistan ,1,Pakistan,West Indies
March,1989,New Zealand ,Pakistan,Eden Park,Pakistan ,0,New Zealand,Pakistan
October,1989,England ,Sri Lanka,Feroz Shah Kotla,England ,1,England,Sri Lanka
October,1989,India ,West Indies,Feroz Shah Kotla,West Indies ,0,India,West Indies
December,1989,Pakistan ,India,Gaddafi Stadium,Pakistan ,1,Pakistan,India
October,1989,Pakistan ,West Indies,Gandhi Stadium,West Indies ,0,Pakistan,West Indies
October,1989,India ,England,Green Park,India ,1,India,England
December,1989,Pakistan ,India,Jinnah Stadium ,Pakistan ,1,Pakistan,India
October,1989,Pakistan ,Sri Lanka,"KD Singh ""Babu"" Stadium",Pakistan ,1,Pakistan,Sri Lanka
March,1989,West Indies ,India,Kensington Oval,West Indies ,1,West Indies,India
October,1989,Australia ,England,Lal Bahadur Shastri Stadium,England ,0,Australia,England
May,1989,England ,Australia,Lord's,Australia ,0,England,Australia
October,1989,India ,Australia,M Chinnaswamy Stadium,India ,1,India,Australia
October,1989,Australia ,West Indies,MA Chidambaram Stadium,Australia ,1,Australia,West Indies
October,1989,Sri Lanka ,West Indies,Madhavrao Scindia Cricket Ground,Sri Lanka ,1,Sri Lanka,West Indies
January,1989,Australia ,West Indies,Melbourne Cricket Ground,Australia ,1,Australia,West Indies
January,1989,Australia ,Pakistan,Melbourne Cricket Ground,Australia ,1,Australia,Pakistan
January,1989,Australia ,West Indies,Melbourne Cricket Ground,Australia ,1,Australia,West Indies
December,1989,Australia ,Sri Lanka,Melbourne Cricket Ground,Australia ,1,Australia,Sri Lanka
October,1989,Australia ,Sri Lanka,Nehru Stadium ,Australia ,1,Australia,Sri Lanka
May,1989,England ,Australia,Old Trafford,England ,1,England,Australia
March,1989,West Indies ,India,Queen's Park Oval,West Indies ,1,West Indies,India
March,1989,West Indies ,India,Queen's Park Oval,West Indies ,1,West Indies,India
October,1989,India ,Sri Lanka,Sardar Patel Stadium,India ,1,India,Sri Lanka
March,1989,New Zealand ,Pakistan,Seddon Park,New Zealand ,1,New Zealand,Pakistan
March,1989,Pakistan ,Sri Lanka,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,Sri Lanka
March,1989,Pakistan ,Sri Lanka,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,Sri Lanka
October,1989,India ,West Indies,Sharjah Cricket Stadium,West Indies ,0,India,West Indies
October,1989,Pakistan ,West Indies,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,West Indies
October,1989,India ,Pakistan,Sharjah Cricket Stadium,Pakistan ,0,India,Pakistan
October,1989,India ,West Indies,Sharjah Cricket Stadium,India ,1,India,West Indies
October,1989,Pakistan ,West Indies,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,West Indies
October,1989,India ,Pakistan,Sharjah Cricket Stadium,Pakistan ,0,India,Pakistan
January,1989,Australia ,West Indies,Sydney Cricket Ground,Australia ,1,Australia,West Indies
January,1989,Australia ,West Indies,Sydney Cricket Ground,West Indies ,0,Australia,West Indies
January,1989,Australia ,West Indies,Sydney Cricket Ground,West Indies ,0,Australia,West Indies
October,1989,England ,Pakistan,Vidarbha Cricket Association Ground,Pakistan ,0,England,Pakistan
January,1989,Pakistan ,West Indies,WACA Ground,West Indies ,0,Pakistan,West Indies
January,1989,Australia ,Pakistan,WACA Ground,Pakistan ,0,Australia,Pakistan
December,1989,Australia ,Sri Lanka,WACA Ground,Australia ,1,Australia,Sri Lanka
December,1989,Pakistan ,Sri Lanka,WACA Ground,Sri Lanka ,0,Pakistan,Sri Lanka
October,1989,India ,West Indies,Wankhede Stadium,West Indies ,0,India,West Indies
February,1990,Pakistan ,Sri Lanka,Adelaide Oval,Pakistan ,1,Pakistan,Sri Lanka
February,1990,Australia ,Sri Lanka,Adelaide Oval,Australia ,1,Australia,Sri Lanka
December,1990,England ,New Zealand,Adelaide Oval,New Zealand ,0,England,New Zealand
December,1990,Australia ,New Zealand,Adelaide Oval,Australia ,1,Australia,New Zealand
March,1990,Australia ,India,AMI Stadium,Australia ,1,Australia,India
March,1990,New Zealand ,Australia,AMI Stadium,Australia ,0,New Zealand,Australia
November,1990,Pakistan ,New Zealand,Arbab Niaz Stadium,Pakistan ,1,Pakistan,New Zealand
December,1990,India ,Sri Lanka,Barabati Stadium,Sri Lanka ,0,India,Sri Lanka
March,1990,New Zealand ,India,Basin Reserve,India ,0,New Zealand,India
February,1990,Pakistan ,Sri Lanka,Bellerive Oval,Pakistan ,1,Pakistan,Sri Lanka
December,1990,Australia ,New Zealand,Bellerive Oval,New Zealand ,0,Australia,New Zealand
March,1990,West Indies ,England,Bourda,West Indies ,1,West Indies,England
March,1990,West Indies ,England,Bourda,West Indies ,1,West Indies,England
February,1990,Pakistan ,Sri Lanka,Brisbane Cricket Ground,Pakistan ,1,Pakistan,Sri Lanka
February,1990,Australia ,Pakistan,Brisbane Cricket Ground,Australia ,1,Australia,Pakistan
December,1990,England ,New Zealand,Brisbane Cricket Ground,New Zealand ,0,England,New Zealand
December,1990,Australia ,England,Brisbane Cricket Ground,Australia ,1,Australia,England
March,1990,New Zealand ,India,Carisbrook,New Zealand ,1,New Zealand,India
December,1990,Bangladesh ,Sri Lanka,Eden Gardens,Sri Lanka ,0,Bangladesh,Sri Lanka
March,1990,New Zealand ,Australia,Eden Park,Australia ,0,New Zealand,Australia
March,1990,New Zealand ,Australia,Eden Park,Australia ,0,New Zealand,Australia
November,1990,Pakistan ,New Zealand,Gaddafi Stadium,Pakistan ,1,Pakistan,New Zealand
November,1990,Pakistan ,West Indies,Gaddafi Stadium,Pakistan ,1,Pakistan,West Indies
May,1990,England ,New Zealand,Headingley,New Zealand ,0,England,New Zealand
July,1990,England ,India,Headingley,India ,0,England,India
November,1990,Pakistan ,West Indies,Ibn-e-Qasim Bagh Stadium,Pakistan ,1,Pakistan,West Indies
November,1990,Pakistan ,New Zealand,Jinnah Stadium ,Pakistan ,1,Pakistan,New Zealand
May,1990,England ,New Zealand,Kennington Oval,England ,1,England,New Zealand
April,1990,West Indies ,England,Kensington Oval,West Indies ,1,West Indies,England
January,1990,Australia ,Pakistan,Melbourne Cricket Ground,Australia ,1,Australia,Pakistan
January,1990,Australia ,Sri Lanka,Melbourne Cricket Ground,Australia ,1,Australia,Sri Lanka
February,1990,Australia ,Pakistan,Melbourne Cricket Ground,Australia ,1,Australia,Pakistan
December,1990,Australia ,New Zealand,Melbourne Cricket Ground,Australia ,1,Australia,New Zealand
November,1990,Pakistan ,West Indies,National Stadium,Pakistan ,1,Pakistan,West Indies
December,1990,India ,Sri Lanka,Nehru Stadium ,Sri Lanka ,0,India,Sri Lanka
December,1990,India ,Sri Lanka,Nehru Stadium ,India ,1,India,Sri Lanka
March,1990,West Indies ,England,Sabina Park,West Indies ,1,West Indies,England
December,1990,India ,Bangladesh,Sector 16 Stadium,India ,1,India,Bangladesh
March,1990,Australia ,India,Seddon Park,Australia ,1,Australia,India
April,1990,India ,Sri Lanka,Sharjah Cricket Stadium,Sri Lanka ,0,India,Sri Lanka
April,1990,Australia ,New Zealand,Sharjah Cricket Stadium,Australia ,1,Australia,New Zealand
April,1990,India ,Pakistan,Sharjah Cricket Stadium,Pakistan ,0,India,Pakistan
April,1990,Bangladesh ,New Zealand,Sharjah Cricket Stadium,New Zealand ,0,Bangladesh,New Zealand
April,1990,Pakistan ,Sri Lanka,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,Sri Lanka
April,1990,Australia ,Bangladesh,Sharjah Cricket Stadium,Australia ,1,Australia,Bangladesh
May,1990,New Zealand ,Pakistan,Sharjah Cricket Stadium,Pakistan ,0,New Zealand,Pakistan
May,1990,Australia ,Sri Lanka,Sharjah Cricket Stadium,Australia ,1,Australia,Sri Lanka
May,1990,Australia ,Pakistan,Sharjah Cricket Stadium,Pakistan ,0,Australia,Pakistan
December,1990,Pakistan ,Sri Lanka,Sharjah Cricket Stadium,Sri Lanka ,0,Pakistan,Sri Lanka
December,1990,Pakistan ,Sri Lanka,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,Sri Lanka
December,1990,England ,New Zealand,Sydney Cricket Ground,England ,1,England,New Zealand
February,1990,Australia ,Pakistan,Sydney Cricket Ground,Pakistan ,0,Australia,Pakistan
February,1990,Australia ,Pakistan,Sydney Cricket Ground,Pakistan ,0,Australia,Pakistan
February,1990,Australia ,Pakistan,Sydney Cricket Ground,Australia ,1,Australia,Pakistan
November,1990,Australia ,New Zealand,Sydney Cricket Ground,Australia ,1,Australia,New Zealand
July,1990,England ,India,Trent Bridge,India ,0,England,India
December,1990,India ,Sri Lanka,Vidarbha Cricket Association Ground,India ,1,India,Sri Lanka
December,1990,England ,New Zealand,WACA Ground,England ,1,England,New Zealand
December,1990,Australia ,England,WACA Ground,Australia ,1,Australia,England
December,1991,India ,West Indies,Adelaide Oval,India ,1,India,West Indies
December,1991,Australia ,India,Adelaide Oval,Australia ,1,Australia,India
February,1991,New Zealand ,England,AMI Stadium,England ,0,New Zealand,England
February,1991,New Zealand ,England,Basin Reserve,New Zealand ,1,New Zealand,England
December,1991,Australia ,India,Bellerive Oval,Australia ,1,Australia,India
March,1991,West Indies ,Australia,Bourda,Australia ,0,West Indies,Australia
November,1991,India ,South Africa,Captain Roop Singh Stadium,India ,1,India,South Africa
February,1991,New Zealand ,Sri Lanka,Carisbrook,New Zealand ,1,New Zealand,Sri Lanka
January,1991,India ,Sri Lanka,Eden Gardens,India ,1,India,Sri Lanka
November,1991,India ,South Africa,Eden Gardens,India ,1,India,South Africa
January,1991,New Zealand ,Sri Lanka,Eden Park,New Zealand ,1,New Zealand,Sri Lanka
February,1991,New Zealand ,England,Eden Park,New Zealand ,1,New Zealand,England
May,1991,England ,West Indies,Edgbaston,England ,1,England,West Indies
November,1991,Pakistan ,West Indies,Iqbal Stadium,West Indies ,0,Pakistan,West Indies
November,1991,India ,South Africa,Jawaharlal Nehru Stadium ,South Africa ,0,India,South Africa
March,1991,West Indies ,Australia,Kensington Oval,Australia ,0,West Indies,Australia
May,1991,England ,West Indies,Lord's,England ,1,England,West Indies
January,1991,New Zealand ,Sri Lanka,McLean Park,New Zealand ,1,New Zealand,Sri Lanka
January,1991,Australia ,England,Melbourne Cricket Ground,Australia ,1,Australia,England
January,1991,Australia ,New Zealand,Melbourne Cricket Ground,Australia ,1,Australia,New Zealand
December,1991,Australia ,West Indies,Melbourne Cricket Ground,Australia ,1,Australia,West Indies
November,1991,Pakistan ,West Indies,National Stadium,West Indies ,0,Pakistan,West Indies
May,1991,England ,West Indies,Old Trafford,England ,1,England,West Indies
March,1991,West Indies ,Australia,Queen's Park Oval,Australia ,0,West Indies,Australia
March,1991,West Indies ,Australia,Queen's Park Oval,West Indies ,1,West Indies,Australia
February,1991,West Indies ,Australia,Sabina Park,Australia ,0,West Indies,Australia
October,1991,Pakistan ,West Indies,Sharjah Cricket Stadium,West Indies ,0,Pakistan,West Indies
October,1991,India ,Pakistan,Sharjah Cricket Stadium,India ,1,India,Pakistan
October,1991,India ,West Indies,Sharjah Cricket Stadium,India ,1,India,West Indies
October,1991,Pakistan ,West Indies,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,West Indies
October,1991,India ,West Indies,Sharjah Cricket Stadium,India ,1,India,West Indies
October,1991,India ,Pakistan,Sharjah Cricket Stadium,Pakistan ,0,India,Pakistan
October,1991,India ,Pakistan,Sharjah Cricket Stadium,Pakistan ,0,India,Pakistan
January,1991,Australia ,England,Sydney Cricket Ground,Australia ,1,Australia,England
January,1991,Australia ,New Zealand,Sydney Cricket Ground,Australia ,1,Australia,New Zealand
December,1991,Australia ,West Indies,Sydney Cricket Ground,Australia ,1,Australia,West Indies
December,1991,Australia ,India,WACA Ground,India ,0,Australia,India
March,1992,Australia ,Sri Lanka,Adelaide Oval,Australia ,1,Australia,Sri Lanka
March,1992,India ,South Africa,Adelaide Oval,South Africa ,0,India,South Africa
December,1992,Pakistan ,West Indies,Adelaide Oval,West Indies ,0,Pakistan,West Indies
December,1992,Australia ,Pakistan,Adelaide Oval,Australia ,1,Australia,Pakistan
February,1992,New Zealand ,England,AMI Stadium,England ,0,New Zealand,England
March,1992,South Africa ,West Indies,AMI Stadium,South Africa ,1,South Africa,West Indies
March,1992,New Zealand ,Pakistan,AMI Stadium,Pakistan ,0,New Zealand,Pakistan
March,1992,South Africa ,Sri Lanka,Basin Reserve,Sri Lanka ,0,South Africa,Sri Lanka
March,1992,India ,West Indies,Basin Reserve,West Indies ,0,India,West Indies
March,1992,New Zealand ,England,Basin Reserve,New Zealand ,1,New Zealand,England
December,1992,New Zealand ,Pakistan,Basin Reserve,Pakistan ,0,New Zealand,Pakistan
March,1992,Sri Lanka ,West Indies,Berri Oval,West Indies ,0,Sri Lanka,West Indies
January,1992,India ,West Indies,Brisbane Cricket Ground,West Indies ,0,India,West Indies
January,1992,Australia ,West Indies,Brisbane Cricket Ground,West Indies ,0,Australia,West Indies
March,1992,Australia ,India,Brisbane Cricket Ground,Australia ,1,Australia,India
March,1992,Pakistan ,South Africa,Brisbane Cricket Ground,South Africa ,0,Pakistan,South Africa
December,1992,South Africa ,India,Buffalo Park,India ,0,South Africa,India
February,1992,New Zealand ,England,Carisbrook,England ,0,New Zealand,England
March,1992,New Zealand ,India,Carisbrook,New Zealand ,1,New Zealand,India
March,1992,England ,Sri Lanka,Eastern Oval,England ,1,England,Sri Lanka
January,1992,New Zealand ,England,Eden Park,England ,0,New Zealand,England
February,1992,New Zealand ,Australia,Eden Park,New Zealand ,1,New Zealand,Australia
February,1992,New Zealand ,South Africa,Eden Park,New Zealand ,1,New Zealand,South Africa
March,1992,New Zealand ,West Indies,Eden Park,New Zealand ,1,New Zealand,West Indies
March,1992,New Zealand ,Pakistan,Eden Park,Pakistan ,0,New Zealand,Pakistan
December,1992,New Zealand ,Pakistan,Eden Park,New Zealand ,1,New Zealand,Pakistan
January,1992,Pakistan ,Sri Lanka,Ibn-e-Qasim Bagh Stadium,Sri Lanka ,0,Pakistan,Sri Lanka
May,1992,England ,Pakistan,Kennington Oval,England ,1,England,Pakistan
December,1992,South Africa ,India,Kingsmead,South Africa ,1,South Africa,India
May,1992,England ,Pakistan,Lord's,England ,1,England,Pakistan
August,1992,England ,Pakistan,Lord's,Pakistan ,0,England,Pakistan
December,1992,South Africa ,India,Mangaung Oval,South Africa ,1,South Africa,India
December,1992,New Zealand ,Pakistan,McLean Park,New Zealand ,1,New Zealand,Pakistan
February,1992,England ,West Indies,Melbourne Cricket Ground,England ,1,England,West Indies
March,1992,England ,South Africa,Melbourne Cricket Ground,England ,1,England,South Africa
January,1992,India ,West Indies,Melbourne Cricket Ground,India ,1,India,West Indies
January,1992,Australia ,India,Melbourne Cricket Ground,Australia ,1,Australia,India
February,1992,Pakistan ,West Indies,Melbourne Cricket Ground,West Indies ,0,Pakistan,West Indies
March,1992,Australia ,West Indies,Melbourne Cricket Ground,Australia ,1,Australia,West Indies
March,1992,England ,Pakistan,Melbourne Cricket Ground,Pakistan ,0,England,Pakistan
December,1992,Australia ,West Indies,Melbourne Cricket Ground,Australia ,1,Australia,West Indies
January,1992,Pakistan ,Sri Lanka,National Stadium,Pakistan ,1,Pakistan,Sri Lanka
December,1992,South Africa ,India,Newlands,South Africa ,1,South Africa,India
January,1992,Pakistan ,Sri Lanka,Niaz Stadium,Pakistan ,1,Pakistan,Sri Lanka
August,1992,England ,Pakistan,Old Trafford,England ,1,England,Pakistan
August,1992,Sri Lanka ,Australia,P Sara Oval,Sri Lanka ,1,Sri Lanka,Australia
December,1992,Sri Lanka ,New Zealand,P Sara Oval,Sri Lanka ,1,Sri Lanka,New Zealand
April,1992,West Indies ,South Africa,Queen's Park Oval,West Indies ,1,West Indies,South Africa
April,1992,West Indies ,South Africa,Queen's Park Oval,West Indies ,1,West Indies,South Africa
September,1992,Sri Lanka ,Australia,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,Australia
September,1992,Sri Lanka ,Australia,R Premadasa Stadium,Australia ,0,Sri Lanka,Australia
